company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,dividend_yield_ratio,start_open,start_close,start_high,end_open,end_close,end_high
entergy corp /de/,ETR,2023-10-01,2023-12-31,14743106000.0,98409.40099056163,6592.187646014391,0.753060847660994,0.5723244866092226,-100.35673088214615,93.16,91.96,92.5,100.37,100.2,101.19
entergy corp /de/,ETR,2023-07-01,2023-09-30,13819008000.0,65.35069235374738,3.1531135143942914,0.7717833522897215,0.9112565681352344,0.0026632657168896828,95.96,95.45,97.37,93.16,91.96,92.5
entergy corp /de/,ETR,2023-04-01,2023-06-30,73084781000.0,345.6375204918594,1.8502977530618452,-0.22384734953238627,0.7978896437885481,-0.02119547108695262,107.27,106.31,107.74,94.82,94.25,95.73
entergy corp /de/,ETR,2023-01-01,2023-03-31,72370204000.0,342.41761341652494,1.471180330342404,-0.2224020170775685,0.9040248198857095,0.08582461242671034,114.14,111.485,112.5,106.42,106.02,106.98
entergy corp /de/,ETR,2022-10-01,2022-12-31,13064892000.0,10969.857621574147,89.40025071768568,0.7770313266834474,0.6429170381667356,-1.7371759583552442,103.65,100.48,100.63,114.14,111.485,112.5
entergy corp /de/,ETR,2022-07-01,2022-09-30,12194266000.0,59.93865500464342,2.7554713559961748,0.793230945262758,0.8951936473120901,0.02546704257238199,111.0,110.56,112.64,107.47,102.56,102.63
entergy corp /de/,ETR,2022-04-01,2022-06-30,69646150000.0,342.4380693313807,0.7852320190912131,-0.20437602964495538,0.8653453911901133,0.05346745897073237,117.07,116.74,116.75,112.13,111.18,111.69
entergy corp /de/,ETR,2022-01-01,2022-03-31,71610352000.0,352.85834152920535,1.3619545620816438,-0.19682654169503566,0.7158061860629458,0.055666442047538546,112.62,111.16,111.64,116.03,115.7,117.04
entergy corp /de/,ETR,2021-10-01,2021-12-31,11705394000.0,63189.05875493943,1397.6053205501933,0.8031192795292891,0.5853248285908216,78.58191039199285,100.99,99.24,99.31,112.62,111.16,111.64
entergy corp /de/,ETR,2021-07-01,2021-09-30,11287524000.0,56.16716135711098,2.642291718016281,0.8081772125753433,0.6369797890111213,0.0041781416616302886,100.6,99.27,99.7,99.45,99.07,100.74
